country1,country2,p_dist
Peloponnese,France,0.01935456203757801
Russia,France,0.006663866000430323
Sahara,France,0.01361372991515088
Sardinia,France,0.04108650290448426
SE_Laconia,France,0.005037763604842189
Serbia,France,0.025646801770868023
Sicily,France,0.0267426072709515
South_Morocco,France,0.00678421741152351
Tunisia,France,0.02450175240862928
Tuscany,France,0.04709584782685375
Yemenite,France,0.011585854619841076
Algeria,Hungary,0.013377942814934997
Basque,Hungary,0.02147260556844792
Bedouin,Hungary,0.01439988844850961
Cappadocia,Hungary,0.04519838068102269
Chuvash,Hungary,0.01626903893818761
Crete,Hungary,0.02486619507059741
Denmark,Hungary,0.03020416816334534
Dodecanese,Hungary,0.025341652822854933
Druze,Hungary,0.015809655279313804
Rumelia,Hungary,0.04351123416594658
Egypt,Hungary,0.013876790424523222
Finland,Hungary,0.018752819657885385
France,Hungary,0.02561684734357489
Hungary,Hungary,0.21350348994132473
Ireland,Hungary,0.01672922440556002
Italy,Hungary,0.04653406421601198
Libya,Hungary,0.0151858402427829
Macedonia,Hungary,0.05344866893776559
Mozabite,Hungary,0.021249600340049725
North_Morocco,Hungary,0.007937068266464368
Palestinian,Hungary,0.015967421593363444
Peloponnese,Hungary,0.03085794475274297
Russia,Hungary,0.007040985054925622
Sahara,Hungary,0.01184851825115031
Sardinia,Hungary,0.02978487555006479
SE_Laconia,Hungary,0.0039701426267057804
Serbia,Hungary,0.09922258927487866
Sicily,Hungary,0.029813519752704278
South_Morocco,Hungary,0.007937068266464368
Tunisia,Hungary,0.020122090354615915
Tuscany,Hungary,0.04433657954289904
Yemenite,Hungary,0.015813089250381097
Algeria,Ireland,0.018558482303857572
Basque,Ireland,0.05552668070918697
Bedouin,Ireland,0.012388009474343074
Cappadocia,Ireland,0.027019344146991885
Chuvash,Ireland,0.015346416460179925
Crete,Ireland,0.016834282074890756
Denmark,Ireland,0.04387688919463445
Dodecanese,Ireland,0.016384956466110354
Druze,Ireland,0.01285330530091352
Rumelia,Ireland,0.01921525123102618
Egypt,Ireland,0.012623388122463896
Finland,Ireland,0.0237353718085313
France,Ireland,0.05427089493495064
Hungary,Ireland,0.026261321175104817
Ireland,Ireland,0.33515503082685777
Italy,Ireland,0.02824232150761545
Libya,Ireland,0.014932596185317422
Macedonia,Ireland,0.021181704959550737
Mozabite,Ireland,0.025701386465112233
North_Morocco,Ireland,0.008456993015326606
